[Recieve] Node: 1, stage: VIEW-CHANGE, from: Node 3
[Recieve] Node: 1, stage: VIEW-CHANGE, from: Node 5
[Recieve] Node: 1, stage: VIEW-CHANGE, from: Node 2

[Recieve] Node: 2, stage: VIEW-CHANGE, from: Node 3
[Recieve] Node: 2, stage: VIEW-CHANGE, from: Node 5
[Recieve] Node: 2, stage: VIEW-CHANGE, from: Node 4

[Recieve] Node: 3, stage: VIEW-CHANGE, from: Node 5
[Recieve] Node: 3, stage: VIEW-CHANGE, from: Node 4
[Recieve] Node: 3, stage: VIEW-CHANGE, from: Node 2

[Recieve] Node: 4, stage: VIEW-CHANGE, from: Node 5
[Recieve] Node: 4, stage: VIEW-CHANGE, from: Node 3
[Recieve] Node: 4, stage: VIEW-CHANGE, from: Node 2

[Recieve] Node: 5, stage: VIEW-CHANGE, from: Node 3
[Recieve] Node: 5, stage: VIEW-CHANGE, from: Node 4
[Recieve] Node: 5, stage: VIEW-CHANGE, from: Node 2
